Recording	Participant	Czy_kolejarz	Czy_maszynista	Czy_pasjonat_kolei	Czy_używał_symulatorów_w_pracy	Płeć	Wiek	Wykształcenie	Zaawansowanie_w_grach	Zaawansowanie_w_grach_symulacyjnych	Timeline	TOI	Interval	Media	Event_type	Validity	EventIndex	Start	Stop	Duration	AOI	Hit_proportion	FixationPointX	FixationPointY	Average_pupil_size
u02-1	u02	nie	nie	nie	nie dotyczy	K	17-23	średnie	0	0	Timeline1	Entire Recording	1		Fixation	Whole	107	78633	78783	150			0.53895	0.63004	3.34103
u02-1	u02	nie	nie	nie	nie dotyczy	K	17-23	średnie	0	0	Timeline1	Entire Recording	1		Fixation	Whole	108	78966	79049	83			0.581	0.5559	3.38251
u02-1	u02	nie	nie	nie	nie dotyczy	K	17-23	średnie	0	0	Timeline1	Entire Recording	1		Fixation	Whole	109	79099	79349	250			0.50297	0.45136	3.43956
u02-1	u02	nie	nie	nie	nie dotyczy	K	17-23	średnie	0	0	Timeline1	Entire Recording	1		Fixation	Whole	110	79366	79549	183			0.47896	0.45572	3.4951
u02-1	u02	nie	nie	nie	nie dotyczy	K	17-23	średnie	0	0	Timeline1	Entire Recording	1		Fixation	Partial	111	80148	80215	67			0.30623	1.62579	3.49921
u02-1	u02	nie	nie	nie	nie dotyczy	K	17-23	średnie	0	0	Timeline1	Entire Recording	1	Screen Recording u02-1	Fixation	Whole	112	80365	80615	250			0.51737	0.41796	3.47151
u02-1	u02	nie	nie	nie	nie dotyczy	K	17-23	średnie	0	0	Timeline1	Entire Recording	1	Screen Recording u02-1	Fixation	Whole	113	80631	80781	150			0.48847	0.44039	3.49592
u02-1	u02	nie	nie	nie	nie dotyczy	K	17-23	średnie	0	0	Timeline1	Entire Recording	1	Screen Recording u02-1	Fixation	Whole	114	80865	80948	83			0.2698	0.59347	3.50271
u02-1	u02	nie	nie	nie	nie dotyczy	K	17-23	średnie	0	0	Timeline1	Entire Recording	1	Screen Recording u02-1	Fixation	Whole	115	80998	81148	150			0.14333	0.44842	3.41673
u02-1	u02	nie	nie	nie	nie dotyczy	K	17-23	średnie	0	0	Timeline1	Entire Recording	1	Screen Recording u02-1	Fixation	Whole	116	81198	81448	250			0.12269	0.28734	3.37807
u02-1	u02	nie	nie	nie	nie dotyczy	K	17-23	średnie	0	0	Timeline1	Entire Recording	1	Screen Recording u02-1	Fixation	Whole	117	81481	81614	133			0.15444	0.14401	3.4403
u02-1	u02	nie	nie	nie	nie dotyczy	K	17-23	średnie	0	0	Timeline1	Entire Recording	1	Screen Recording u02-1	Fixation	Whole	118	81664	82030	366			0.32149	0.15244	3.5086
u02-1	u02	nie	nie	nie	nie dotyczy	K	17-23	średnie	0	0	Timeline1	Entire Recording	1	Screen Recording u02-1	Fixation	Whole	119	82080	82314	233			0.45305	0.1083	3.50056
u02-1	u02	nie	nie	nie	nie dotyczy	K	17-23	średnie	0	0	Timeline1	Entire Recording	1	Screen Recording u02-1	Fixation	Whole	120	82480	82697	217			0.32689	0.83675	3.55858
u02-1	u02	nie	nie	nie	nie dotyczy	K	17-23	średnie	0	0	Timeline1	Entire Recording	1	Screen Recording u02-1	Fixation	Whole	121	82763	82980	217			0.39068	0.51641	3.68593
u02-1	u02	nie	nie	nie	nie dotyczy	K	17-23	średnie	0	0	Timeline1	Entire Recording	1	Screen Recording u02-1	Fixation	Whole	122	83030	83213	183			0.26458	0.80831	3.70131
u02-1	u02	nie	nie	nie	nie dotyczy	K	17-23	średnie	0	0	Timeline1	Entire Recording	1	Screen Recording u02-1	Fixation	Whole	123	83230	83346	117			0.12563	0.91846	3.70529
u02-1	u02	nie	nie	nie	nie dotyczy	K	17-23	średnie	0	0	Timeline1	Entire Recording	1	Screen Recording u02-1	Fixation	Whole	124	83396	83513	117			0.24298	0.3351	3.735
u02-1	u02	nie	nie	nie	nie dotyczy	K	17-23	średnie	0	0	Timeline1	Entire Recording	1	Screen Recording u02-1	Fixation	Whole	125	83563	83746	183			0.08084	0.33757	3.48984
u02-1	u02	nie	nie	nie	nie dotyczy	K	17-23	średnie	0	0	Timeline1	Entire Recording	1	Screen Recording u02-1	Fixation	Whole	126	83796	83896	100			0.30385	0.93743	3.34124
u02-1	u02	nie	nie	nie	nie dotyczy	K	17-23	średnie	0	0	Timeline1	Entire Recording	1	Screen Recording u02-1	Fixation	Whole	127	83929	84062	133			0.31106	0.99671	3.35653
u02-1	u02	nie	nie	nie	nie dotyczy	K	17-23	średnie	0	0	Timeline1	Entire Recording	1	Screen Recording u02-1	Fixation	Whole	128	84112	84479	366			0.39839	0.99308	3.46445
u02-1	u02	nie	nie	nie	nie dotyczy	K	17-23	średnie	0	0	Timeline1	Entire Recording	1	Screen Recording u02-1	Fixation	Whole	129	84529	84645	117			0.54694	1.01551	3.52798
u02-1	u02	nie	nie	nie	nie dotyczy	K	17-23	średnie	0	0	Timeline1	Entire Recording	1	Screen Recording u02-1	Fixation	Whole	130	84679	84778	100			0.50905	1.0386	3.51317
u02-1	u02	nie	nie	nie	nie dotyczy	K	17-23	średnie	0	0	Timeline1	Entire Recording	1	Screen Recording u02-1	Fixation	Whole	131	84828	84978	150			0.36867	1.33943	3.55401
u02-1	u02	nie	nie	nie	nie dotyczy	K	17-23	średnie	0	0	Timeline1	Entire Recording	1	Screen Recording u02-1	Fixation	Whole	132	85028	85178	150			0.32968	1.40437	3.65784
u02-1	u02	nie	nie	nie	nie dotyczy	K	17-23	średnie	0	0	Timeline1	Entire Recording	1	Screen Recording u02-1	Fixation	Whole	133	85228	85844	616			0.21483	1.59177	3.76652
u02-1	u02	nie	nie	nie	nie dotyczy	K	17-23	średnie	0	0	Timeline1	Entire Recording	1	Screen Recording u02-1	Fixation	Whole	134	85878	86078	200			0.21914	1.5276	3.81774
u02-1	u02	nie	nie	nie	nie dotyczy	K	17-23	średnie	0	0	Timeline1	Entire Recording	1	Screen Recording u02-1	Fixation	Whole	135	86111	87343	1232			0.21851	1.62098	3.92468
u02-1	u02	nie	nie	nie	nie dotyczy	K	17-23	średnie	0	0	Timeline1	Entire Recording	1	Screen Recording u02-1	Fixation	Whole	136	88558	88674	117			0.54268	0.51532	3.42834
u02-1	u02	nie	nie	nie	nie dotyczy	K	17-23	średnie	0	0	Timeline1	Entire Recording	1	Screen Recording u02-1	Fixation	Whole	137	88724	88924	200			0.24002	0.49292	3.69274
u02-1	u02	nie	nie	nie	nie dotyczy	K	17-23	średnie	0	0	Timeline1	Entire Recording	1	Screen Recording u02-1	Fixation	Whole	138	88974	89124	150			0.39861	0.49868	3.77382
u02-1	u02	nie	nie	nie	nie dotyczy	K	17-23	średnie	0	0	Timeline1	Entire Recording	1	Screen Recording u02-1	Fixation	Whole	139	89157	89274	117			0.49055	0.45845	3.51477
u02-1	u02	nie	nie	nie	nie dotyczy	K	17-23	średnie	0	0	Timeline1	Entire Recording	1	Screen Recording u02-1	Fixation	Whole	140	89341	89540	200			0.85908	0.92535	3.38713
